城市,行政區,場站名稱,經度,緯度,OSM是否捷運站,OSM是否火車站,OSM是否公車站,OSM是否學校,OSM是否公園,OSM是否商圈,OSM是否醫院,場站,場站分類來源,場站分類狀態,分類版本
新北市,三峽區,臺北大學公共事務大樓(法商大道),121.37212,24.94363,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學商學院(尋鳶大道),121.37249,24.94557,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學商學院(法商大道),121.37146,24.94499,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學宿舍(學成路),121.36856,24.94092,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學懷德居木師基地,121.36743,24.94334,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學法學院(鳶飛大道),121.37333,24.94438,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學田徑場(體風路),121.36433,24.9395,True,False,True,True,False,False,True,"捷運站,公車站,學校,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學社科院(公政大道),121.3701,24.94441,False,False,False,True,True,False,False,"學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學社科院(圖資大道),121.36912,24.94396,False,False,False,True,True,False,False,"學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學蓮池,121.37117,24.94723,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學行政大樓(公政大道),121.37037,24.94457,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學行政大樓(法商大道),121.3712,24.94494,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學隆恩哨(忘憂路),121.36547,24.94254,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,臺北大學體育館,121.36688,24.93974,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,薇多綠雅社區(活動中心),121.35727,24.90955,False,False,True,False,False,False,False,公車站,OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,薇多綠雅社區(警衛亭),121.35816,24.90883,False,False,True,False,False,False,False,公車站,OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,長泰街40巷口,121.37811,24.93234,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
